"784.9990200000","793.5995150000","3443621.5576000000","4327.8020100000","797.0000000000","797.4000000000","797.0000000000","1391212800","1391212802"
"784.9990200000","793.5995150000","3444181.5777300000","4328.4978200000","797.4000000000","797.4000000000","797.0010000000","1391212860","1391212861"
"784.9990200000","793.5995150000","3444181.5777300000","4328.4978200000","798.6050000000","798.8610000000","797.0000000000","1391212920","1391212921"
"784.9990200000","793.5995150000","3448123.4072100000","4333.4347400000","798.8610000000","798.8610000000","797.0000000000","1391212980","1391212981"
"784.9990200000","793.5995150000","3448123.4072100000","4333.4347400000","797.0000000000","798.8900000000","797.0000000000","1391213040","1391213041"
"784.9990200000","793.5995150000","3483966.3694800000","4378.3955200000","797.0000000000","797.0000000000","795.4040000000","1391213101","1391213101"
"784.9990200000","793.5995150000","3483966.3694800000","4378.3955200000","797.0000000000","797.0000000000","795.1940000000","1391213161","1391213161"
"784.9990200000","793.5995150000","3486695.6242800000","4381.8195500000","795.0000000000","797.0000000000","794.6390000000","1391213221","1391213221"
"784.9990200000","793.5995150000","3494882.7536600000","4392.1325800000","796.9990000000","796.9990000000","795.5000000000","1391213281","1391213281"
"784.9990200000","793.5995150000","3495760.4436800000","4393.2324500000","796.9000000000","796.9000000000","793.0000000000","1391213341","1391213342"
"784.9990200000","793.5995150000","3497077.6716100000","4394.8864500000","793.0000000000","796.9000000000","793.0000000000","1391213401","1391213401"
"784.9990200000","793.5995150000","3496259.7843300000","4393.8535600000","796.0000000000","796.9000000000","793.0010000000","1391213463","1391213463"
"784.9990200000","793.5995150000","3493404.1778200000","4390.2474900000","796.0000000000","796.9000000000","793.5280000000","1391213521","1391213522"
"784.9990200000","793.5995150000","3492787.6921200000","4389.4709600000","796.0000000000","796.9000000000","794.0000000000","1391213581","1391213582"
"784.9990200000","793.5995150000","3492787.6921200000","4389.4709600000","795.0000000000","795.0000000000","794.0000000000","1391213639","1391213641"
"784.9990200000","793.5995150000","3495470.5665600000","4392.8346400000","797.0000000000","797.0000000000","796.3300000000","1391213701","1391213701"
"784.9990200000","793.5995150000","3495470.5665600000","4392.8346400000","795.0000000000","797.0000000000","795.0000000000","1391213759","1391213761"
"784.9990200000","793.5995150000","3495388.8591200000","4392.7280800000","797.0000000000","797.0000000000","794.0000000000","1391213820","1391213821"
"784.9990200000","793.5995150000","3498374.3215500000","4396.4763500000","797.0000000000","797.0000000000","795.0000000000","1391213880","1391213881"
"784.9990200000","793.5995150000","3499914.7402000000","4398.4090400000","795.0000000000","795.0000000000","794.0000000000","1391213940","1391213942"
"784.9990200000","793.5995150000","3499850.9542700000","4398.3285600000","795.0000000000","796.9900000000","795.0000000000","1391214000","1391214001"
"784.9990200000","793.5995150000","3499676.8368300000","4398.1095700000","795.0000000000","796.9900000000","794.0000000000","1391214060","1391214062"
"784.9990200000","793.5995150000","3499443.5204500000","4397.8159600000","795.0000000000","796.9900000000","795.0000000000","1391214120","1391214122"
"784.9990200000","793.5995150000","3498779.6747000000","4396.9808700000","795.0000000000","795.0000000000","794.0000000000","1391214180","1391214181"
"784.9990200000","793.5995150000","3498841.8158800000","4397.0588100000","796.9820000000","796.9820000000","794.4000000000","1391214240","1391214241"
"784.9990200000","793.5995150000","3492266.0565900000","4388.8001100000","796.0000000000","796.0000000000","793.5000000000","1391214300","1391214301"
"784.9990200000","793.5995150000","3492266.0565900000","4388.8001100000","797.0000000000","797.0000000000","794.5000000000","1391214360","1391214362"
"784.9990200000","793.5995150000","3496254.2751700000","4393.8041100000","795.1000000000","795.1000000000","794.5000000000","1391214420","1391214421"
"784.9990200000","793.5995150000","3500823.2397300000","4399.5371100000","797.0000000000","797.0000000000","794.5000000000","1391214480","1391214481"
"784.9990200000","793.5995150000","3500259.5078600000","4398.8303300000","793.4000000000","797.0000000000","793.0010000000","1391214540","1391214541"
"784.9990200000","793.5995150000","3501002.6912800000","4399.7665100000","793.0010000000","797.0000000000","794.0000000000","1391214601","1391214602"
